Response ID,Date,study,cond,CHANGE,1N,2N,3N,4N,5N,6N,7N,8N,9N,10N,11N,12N,PRE,1N,2N,3N,4N,5N,6N,7N,8N,9N,10N,11N,12N
R_28I3dWZVxnBbDko,1,2,2,,6,13,89,16,15,5,3,24,28,15,26,15,,38,15,0,36,41,71,43,66,52,75,73,37
R_0oe6JMjslcP8Pkt,1,2,2,,9,33,-31,-69,-13,52,-6,-9,-69,-51,-46,0,,29,62,38,92,100,24,8,31,100,51,51,17
R_3m8JiCKuiBl9sak,1,2,2,,43,43,0,19,8,21,10,-7,21,-17,-12,-8,,36,42,57,75,64,37,37,51,71,38,39,33
R_23TCl8CdyvSKJwy,1,2,1,,19,-31,-13,17,13,7,0,-100,0,-19,0,0,,81,92,73,83,87,0,0,100,100,19,0,0
R_3dQulNs7fjtHzIa,1,2,1,,-22,-49,-51,-47,-48,0,51,2,-49,12,32,51,,73,100,100,100,100,51,0,51,100,39,20,0
R_O87990bRRVW0sfv,1,2,2,,13,0,91,44,92,43,0,-100,0,-43,-92,-36,,87,100,9,56,8,57,100,100,100,43,92,36
R_25TuwTy6OYdzbOa,1,2,2,,0,0,66,21,6,11,-21,-43,-69,-25,-30,-24,,61,83,14,60,85,87,27,63,80,30,30,35
R_2vlkTzJXgRceDZ4,1,2,1,,31,74,1,7,48,0,-31,-29,-79,-35,-73,-20,,35,0,50,65,52,100,52,49,100,50,100,31
R_1hy8P9NP1xK1Zqw,1,2,2,,-12,54,35,7,2,39,-46,-23,-28,-32,-35,-24,,71,45,63,55,87,41,53,60,86,39,39,46
R_2CxmZ7p9tsxds6B,1,2,2,,-12,-25,-5,-1,25,-16,-9,-48,8,-10,-12,-47,,80,29,16,74,67,33,28,78,85,38,33,74
R_1pMAqifnlyfdp2y,1,2,1,,39,0,31,-50,8,14,-55,-57,-35,-68,-41,-7,,60,17,69,80,73,58,68,100,100,100,81,27
R_2dgW1dx45EsFLkV,1,2,1,,-10,-17,3,4,28,10,-1,-87,-98,-26,-48,-44,,80,51,5,80,15,74,59,100,100,51,79,51
R_3Ei3PzIfMOaU3JN,1,2,2,,38,8,9,-45,28,31,-37,-43,-91,-68,-73,-56,,31,92,71,92,51,51,39,63,100,70,75,68
